Geographicarea,Indicator,Sex,TIME_PERIOD,OBS_VALUE,Unit multiplier,Unit of measure,Observation Status,Observation confidentaility,LOWER_BOUND,UPPER_BOUND,WGTD_SAMPL_SIZE,OBS_FOOTNOTE,SERIES_FOOTNOTE,DATA_SOURCE,SOURCE_LINK,CUSTODIAN,Time period activity related to when the data are collected,REF_PERIOD,COVERAGE_TIME,Current age
Costa Rica,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2015,90,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Costa Rica,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2016,87,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Costa Rica,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2017,93,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Costa Rica,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2018,93,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Costa Rica,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2019,93,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2001,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2002,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2003,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2004,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2005,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2006,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2007,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2008,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2009,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2010,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2011,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2012,97,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2013,97,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2014,97,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2015,96,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2016,96,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2017,95,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2018,95,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Croatia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2019,95,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2005,53,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2006,97,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2007,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2008,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2009,95,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2010,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2011,95,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2012,96,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2013,97,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2014,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2015,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2016,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2017,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2018,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cuba,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2019,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2007,93,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2008,89,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2009,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2010,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2011,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2012,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2013,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2014,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2015,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2016,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2017,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2018,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Cyprus,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2019,88,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2000,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2001,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2002,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2003,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2004,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2005,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2006,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2007,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2008,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2009,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2010,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2011,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2012,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2013,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2014,96,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2015,99,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2016,93,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2017,90,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2018,84,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Czechia,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2019,84,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2008,75,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2009,75,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2010,76,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2011,76,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2012,76,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2013,76,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2014,76,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2015,85,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
Democratic People's Republic of Korea,"Percentage of children who received the 2nd dose of measles-containing vaccine, as per administered in the national schedule",Total,2016,98,Units,%,Estimated value,Free,,,,"Generally, the second dose of measles-containing vaccine (MCV2) is recommended for administration during the second year of life; however, in many countries, MCV2 is scheduled after the second year.",,"WHO/UNICEF estimates of national immunization coverage, 2019 revision",,,,,,Total
